id,conid,symbol,order_id,price_buy,price_sell,shares,execution_time_buy,execution_time_sell,realized_pnl,commission_buy,commission_sell,net_pnl,holding_period,win_loss,subcategory,cumulative_pnl,trade_date,weekday
34,758890577,META,933cae6c-15fd-4586-8290-59a46ee1b6b6,10.09,10.5,1,2025-02-11 09:31:47,2025-02-11 09:38:22,41.000000000000014,-1.05525,-1.07723,38.86752000000001,6.583333333333333,Win,C,38.86752000000001,2025-02-11,Tuesday
35,752014916,TSLA,278942b8-87be-48a4-8b9f-7c0c0796d98f,8.06,9.27,1,2025-02-11 10:00:22,2025-02-11 10:09:10,120.99999999999991,-1.05525,-1.0838106,118.86093939999992,8.8,Win,P,157.72845939999993,2025-02-11,Tuesday
36,752194891,TSLA,14b4672e-3717-45e5-bbe1-8288df11098a,8.59,8.81,1,2025-02-11 12:24:33,2025-02-11 12:57:57,22.000000000000064,-1.05525,-1.0825318,19.862218200000065,33.4,Win,P,177.5906776,2025-02-11,Tuesday
23,755342173,META,e8969619-415d-41a6-baef-5ba1e696c292,8.27,8.79,1,2025-02-12 09:31:50,2025-02-12 09:33:10,51.99999999999996,-1.05525,-1.0824762,49.862273799999954,1.3333333333333333,Win,C,227.45295139999996,2025-02-12,Wednesday
12,755342173,META,58558a63-76ed-491b-ba5c-27d768710c2e,8.27,8.79,1,2025-02-12 09:31:50,2025-02-12 09:33:10,51.99999999999996,-1.05525,-1.0824762,49.862273799999954,1.3333333333333333,Win,C,277.31522519999993,2025-02-12,Wednesday
1,755342173,META,326d0d87-bf5e-4962-bff1-d3ea74c4bd28,8.27,8.79,1,2025-02-12 09:31:50,2025-02-12 09:33:10,51.99999999999996,-1.05525,-1.0824762,49.862273799999954,1.3333333333333333,Win,C,327.1774989999999,2025-02-12,Wednesday
2,758890620,META,dfaeba5d-659c-4f5a-88ae-24be078bb874,7.26,7.39,1,2025-02-12 09:36:33,2025-02-12 09:37:02,12.99999999999999,-1.05525,-1.0785842,10.86616579999999,0.48333333333333334,Win,C,338.0436647999999,2025-02-12,Wednesday
24,758890620,META,2c994aa6-672b-438f-8a45-b441017eb08c,7.26,7.39,1,2025-02-12 09:36:33,2025-02-12 09:37:02,12.99999999999999,-1.05525,-1.0785842,10.86616579999999,0.48333333333333334,Win,C,348.90983059999985,2025-02-12,Wednesday
13,758890620,META,48c60c86-c036-4ca1-8e59-c584fc498bb3,7.26,7.39,1,2025-02-12 09:36:33,2025-02-12 09:37:02,12.99999999999999,-1.05525,-1.0785842,10.86616579999999,0.48333333333333334,Win,C,359.7759963999998,2025-02-12,Wednesday
3,752193054,TSLA,d214b256-6aa1-4d2f-b7bb-8dc4cf18b8fe,7.87,8.07,1,2025-02-12 09:37:20,2025-02-12 09:37:47,20.000000000000018,-1.05525,-1.0804746,17.864275400000018,0.45,Win,C,377.6402717999998,2025-02-12,Wednesday
25,752193054,TSLA,342cb19a-12ed-443f-8f92-278ce3681660,7.87,8.07,1,2025-02-12 09:37:20,2025-02-12 09:37:47,20.000000000000018,-1.05525,-1.0804746,17.864275400000018,0.45,Win,C,395.5045471999998,2025-02-12,Wednesday
14,752193054,TSLA,949b003f-e6fd-4a0b-9f6a-84c2548ff9fd,7.87,8.07,1,2025-02-12 09:37:20,2025-02-12 09:37:47,20.000000000000018,-1.05525,-1.0804746,17.864275400000018,0.45,Win,C,413.3688225999998,2025-02-12,Wednesday
26,758890620,META,f8abd8fe-9914-4c5c-89e6-d1e133711661,7.74,7.93,1,2025-02-12 09:40:01,2025-02-12 09:40:16,18.99999999999995,-1.05775,-1.0800854,16.86216459999995,0.25,Win,C,430.2309871999998,2025-02-12,Wednesday
4,758890620,META,6741ea87-4207-4c60-9fd0-6901bb7f8cca,7.74,7.93,1,2025-02-12 09:40:01,2025-02-12 09:40:16,18.99999999999995,-1.05775,-1.0800854,16.86216459999995,0.25,Win,C,447.09315179999976,2025-02-12,Wednesday
15,758890620,META,1cbe56d0-f047-48d1-a5d6-da48ecb684fc,7.74,7.93,1,2025-02-12 09:40:01,2025-02-12 09:40:16,18.99999999999995,-1.05775,-1.0800854,16.86216459999995,0.25,Win,C,463.95531639999973,2025-02-12,Wednesday
16,758890620,META,f9dd55aa-faa4-445a-885a-0a9360772efb,8.07,8.12,1,2025-02-12 09:40:26,2025-02-12 09:40:45,4.999999999999893,-1.05525,-1.0831136,2.8616363999998935,0.31666666666666665,Win,C,466.8169527999996,2025-02-12,Wednesday
27,758890620,META,bc8ddbd6-11a7-4747-ae58-240a639691a1,8.07,8.12,1,2025-02-12 09:40:26,2025-02-12 09:40:45,4.999999999999893,-1.05525,-1.0831136,2.8616363999998935,0.31666666666666665,Win,C,469.6785891999995,2025-02-12,Wednesday
5,758890620,META,79c96f7c-d7c2-4c41-8f0c-a4468b3d9704,8.07,8.12,1,2025-02-12 09:40:26,2025-02-12 09:40:45,4.999999999999893,-1.05525,-1.0831136,2.8616363999998935,0.31666666666666665,Win,C,472.5402255999994,2025-02-12,Wednesday
17,758890620,META,2b7a13a4-bd6d-46b0-91d8-1c5c52b2f1c5,8.2,8.23,1,2025-02-12 09:43:32,2025-02-12 09:44:46,3.0000000000001137,-1.05775,-1.0834194,0.8588306000001138,1.2333333333333334,Win,C,473.3990561999995,2025-02-12,Wednesday
28,758890620,META,5404509e-6808-4793-bd7c-7d88e7aa936f,8.2,8.23,1,2025-02-12 09:43:32,2025-02-12 09:44:46,3.0000000000001137,-1.05775,-1.0834194,0.8588306000001138,1.2333333333333334,Win,C,474.2578867999996,2025-02-12,Wednesday
6,758890620,META,90defc96-94e5-4961-a48e-3fecc228f530,8.2,8.23,1,2025-02-12 09:43:32,2025-02-12 09:44:46,3.0000000000001137,-1.05775,-1.0834194,0.8588306000001138,1.2333333333333334,Win,C,475.1167173999997,2025-02-12,Wednesday
29,758639032,TSLA,c5cbbee5-c00b-4f72-b823-6199fe845e02,7.57,7.42,1,2025-02-12 09:45:16,2025-02-12 09:45:27,-15.000000000000036,-1.05525,-1.0786676,-17.133917600000036,0.18333333333333332,Loss,C,457.98279979999967,2025-02-12,Wednesday
7,758639032,TSLA,eaa97370-d0be-4416-ad31-9820b8b29d6f,7.57,7.42,1,2025-02-12 09:45:16,2025-02-12 09:45:27,-15.000000000000036,-1.05525,-1.0786676,-17.133917600000036,0.18333333333333332,Loss,C,440.84888219999965,2025-02-12,Wednesday
18,758639032,TSLA,cc8dc762-0d01-4e42-ab16-24586e08e904,7.57,7.42,1,2025-02-12 09:45:16,2025-02-12 09:45:27,-15.000000000000036,-1.05525,-1.0786676,-17.133917600000036,0.18333333333333332,Loss,C,423.71496459999963,2025-02-12,Wednesday
19,758890620,META,5a2e75ce-67b1-4889-a036-2c2769f20233,7.76,7.83,1,2025-02-12 09:46:17,2025-02-12 09:46:25,7.000000000000028,-1.05525,-1.0798074,4.864942600000028,0.13333333333333333,Win,C,428.57990719999964,2025-02-12,Wednesday
30,758890620,META,125723c7-e637-433f-ab4e-f80c306bb60a,7.76,7.83,1,2025-02-12 09:46:17,2025-02-12 09:46:25,7.000000000000028,-1.05525,-1.0798074,4.864942600000028,0.13333333333333333,Win,C,433.44484979999964,2025-02-12,Wednesday
